model,cv_folds,decision_threshold,precision,recall,f1,accuracy,roc_auc,flag_rate,true_negative,false_positive,false_negative,true_positive
Logistic Regression,5,0.5,0.30977229601518025,0.62607861936721,0.414471596318629,0.6416083916083916,0.6749671553176855,0.4094794094794095,2650,1455,390,653
Random Forest,5,0.5,0.3407725321888412,0.38063279002876316,0.3596014492753623,0.7253302253302253,0.6581114395254951,0.2263014763014763,3337,768,646,397
Gradient Boosting,5,0.5,0.3167062549485352,0.3835091083413231,0.3469210754553339,0.7074592074592074,0.6306447600907622,0.24533799533799533,3242,863,643,400
